cod_ibge,nome,porcentagem_pop_urbana_2010,densidade_demografica_2010,area_km2
1707207,DOIS IRMÃOS DO TOCANTINS,38.78,1.91,3747.645
1707306,DUERÉ,66.53,1.34,3420.657
1707405,ESPERANTINA,48.69,18.8,506.175
1707553,FÁTIMA,82.39,9.94,380.373
1707652,FIGUEIRÓPOLIS,75.92,2.77,1935.709
1707702,FILADÉLFIA,65.11,4.28,1991.258
1708205,FORMOSO DO ARAGUAIA,72.36,1.37,13431.861
1708254,TABOCÃO,81.36,3.89,624.463
1708304,GOIANORTE,55.69,2.75,1797.229
1709005,GOIATINS,41.02,1.88,6414.846
1709302,GUARAÍ,91.07,10.23,2275.562
1709500,GURUPI,97.71,41.8,1844.164
1709807,IPUEIRAS,58.45,2.01,821.152
1710508,ITACAJÁ,60.15,2.33,3047.204
1710706,ITAGUATINS,56.33,8.15,730.163
1710904,ITAPIRATINS,54.19,2.84,1246.349
1711100,ITAPORÃ DO TOCANTINS,63.93,2.51,969.794
1711506,JAÚ DO TOCANTINS,37.35,1.61,2167.201
1711803,JUARINA,46.3,4.64,483.452
1711902,LAGOA DA CONFUSÃO,62.02,0.97,10563.181
1711951,LAGOA DO TOCANTINS,72,3.87,917.632
1712009,LAJEADO,78.11,8.6,318.292
1712157,LAVANDEIRA,63.74,3.09,468.006
1502806,CURRALINHO,38.29,7.89,3617.252
1502855,CURUÁ,47.18,8.56,1431.134
1502905,CURUÇÁ,35.5,50.98,676.322
1502939,DOM ELISEU,63.36,9.74,5268.809
5107263,SANTO AFONSO,51.5,2.55,1166.382
5107297,SÃO JOSÉ DO POVO,48.3,8.09,489.737
5107305,SÃO JOSÉ DO RIO CLARO,76.9,3.77,4525.304
1502954,ELDORADO DO CARAJÁS,52.16,10.75,2956.691
1503002,FARO,74.94,0.69,11771.669
1503044,FLORESTA DO ARAGUAIA,49.04,5.16,3444.285
1503077,GARRAFÃO DO NORTE,34.38,15.66,1608.014
1503093,GOIANÉSIA DO PARÁ,69.27,4.33,7023.948
1503101,GURUPÁ,32.96,3.4,8570.286
5107354,SÃO JOSÉ DO XINGU,72.2,0.7,7465.563
5107404,SÃO PEDRO DA CIPA,89.1,12.12,344.33
5107578,RONDOLÂNDIA,26.4,0.28,12658.341
5107602,RONDONÓPOLIS,96.2,47,4824.02
5107701,ROSÁRIO OESTE,60.3,2.31,7339.443
5107743,SANTA CRUZ DO XINGU,65.8,0.34,5623.39
5107750,SALTO DO CÉU,55.9,2.23,1753.378
5107768,SANTA RITA DO TRIVELATO,54.9,0.53,4747.042
5107776,SANTA TEREZINHA,40.2,1.14,6466.223
5107792,SANTO ANTÔNIO DO LESTE,56.4,1.04,3403.593
1503200,IGARAPÉ-AÇU,59.09,45.66,785.983
1503309,IGARAPÉ-MIRI,45.12,29.08,1996.79
1503408,INHANGAPI,27.61,21.29,472.605
1503457,IPIXUNA DO PARÁ,23.83,9.84,5215.555
1503507,IRITUIA,20.8,22.74,1385.209
1503606,ITAITUBA,72.5,1.57,62042.473
1503705,ITUPIRANGA,40,6.5,7880.109
1503754,JACAREACANGA,34.96,0.26,53304.562
1712405,LIZARDA,69.34,0.65,5716.641
1712454,LUZINÓPOLIS,63.88,9.38,281.543
1712504,MARIANÓPOLIS DO TOCANTINS,54.76,2.08,2089.575
1712702,MATEIROS,63.74,0.23,9589.273
1712801,MAURILÂNDIA DO TOCANTINS,63.95,4.27,736.303
1713205,MIRACEMA DO TOCANTINS,86.72,7.79,2663.745
1713304,MIRANORTE,87.43,12.24,1033.301
1713601,MONTE DO CARMO,42.9,1.86,3601.205
1713700,MONTE SANTO DO TOCANTINS,21.58,1.91,1072.92
1713809,PALMEIRAS DO TOCANTINS,56.31,7.67,743.407
1713957,MURICILÂNDIA,57.11,2.66,1194.368
1714203,NATIVIDADE,79.94,2.78,3241.672
1714302,NAZARÉ,45.39,11.08,395.997
1714880,NOVA OLINDA,69.86,6.82,1567.834
