ano,vacina_id,cobertura,doses,regiao_cod_ibge
2018,10,100.45,347273,4
2018,10,99.32,210058,5
2018,11,80.59,210067,1
2018,11,91.65,644673,2
2018,11,92.84,912516,3
2018,11,97.08,326668,4
2018,11,93.06,195658,5
2018,12,88.01,218643,1
2018,12,99.23,711479,2
2018,12,100.35,1039245,3
2018,12,100.41,350926,4
2018,12,97.03,205331,5
2018,13,97.19,265246,1
2018,13,105.36,773512,2
2018,13,104.51,1092501,3
2018,13,102.78,364827,4
2018,13,103.46,222693,5
2018,14,82.87,223880,1
2018,14,91.24,648789,2
2018,14,91.59,932829,3
2018,14,96.83,336007,4
2018,14,91.13,198591,5
2018,15,89.36,236325,1
2018,15,98.94,715809,2
2018,15,100.53,1043488,3
2018,15,100.5,352211,4
2018,15,98.08,208003,5
2018,16,45.02,132169,1
2018,16,53.96,447402,2
2018,16,74.15,759057,3
2018,16,85.27,292986,4
2018,16,68.78,155621,5
2018,17,69.36,183666,1
2018,17,76.12,549184,2
2018,17,84.83,856367,3
2018,17,89.04,308895,4
2018,17,80.8,180582,5
2018,18,91.07,242875,1
2018,18,101.39,732421,2
2018,18,102.43,1055569,3
2018,18,100.94,362885,4
2018,18,99.72,213034,5
2018,19,66.48,166155,1
2018,19,12.61,77054,2
2018,19,18.46,269745,3
2018,19,78.41,260603,4
2018,19,75.01,158198,5
2018,21,74.3,191127,1
2018,21,81.7,567800,2
2018,21,87.02,853231,3
2018,21,92.46,302523,4
2018,21,84.46,176514,5
2018,22,94.34,259722,1
2018,22,101.78,752063,2
2018,22,104.66,1065447,3
2018,22,100.9,352427,4
2018,22,97.64,213663,5
2018,23,80.21,212829,1
2018,23,76.66,553091,2
2018,23,86.48,902906,3
2018,23,96.17,330694,4
2018,23,90.04,195016,5
2019,1,89.52,284639,1
2019,1,79.55,697160,2
2019,1,89.47,972247,3
2019,1,93.17,349941,4
2019,1,91.29,228857,5
2019,3,74.73,210082,1
2019,3,70.59,531571,2
2019,3,74.41,697215,3
2019,3,89.5,274090,4
2019,3,78.65,168996,5
2019,4,48.32,150690,1
2019,4,50.42,411640,2
2019,4,55.75,597212,3
2019,4,73.82,244867,4
